year,biome,country_of_production,product_type,forest_500_soy,zero_deforestation_paraguay_soy,department,district_of_export,exporter,exporter_group,country_of_destination,economic_bloc,volume,fob,land_use,soy_deforestation_5_year_total_exposure,department_trase_id,country_of_production_trase_id,country_of_destination_trase_id
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEAN CAKE"",""3"",""NONE"",""AMAMBAY"",""VILLETA"",""ADM PARAGUAY"",""ADM"",""ALGERIA"",""ALGERIA"",""19878.68"",""8451762.488555603"",""6974.975438596492"",""401.54933600000004"",""PY-13"",""PY"",""DZ"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEAN CAKE"",""3"",""NONE"",""SAN PEDRO"",""VILLETA"",""ADM PARAGUAY"",""ADM"",""CHILE"",""CHILE"",""19570.47"",""9901022.60697527"",""7766.07828082167"",""1017.66444"",""PY-02"",""PY"",""CL"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEAN CAKE"",""4"",""NONE"",""CAAGUAZU"",""SAN ANTONIO"",""BUNGE PARAGUAY SA"",""BUNGE"",""ITALY"",""EUROPEAN UNION"",""19489.24"",""8853075.373689191"",""6862.422040472801"",""172.47977400000002"",""PY-05"",""PY"",""IT"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",""3"",""COMPANY COMMITMENT"",""ALTO PARANA"",""PRESIDENTE FRANCO"",""CARGILL AGROPECUARIA SACI"",""CARGILL"",""NETHERLANDS"",""EUROPEAN UNION"",""19393.55"",""11017086.790333614"",""6507.902684563758"",""45.5748425"",""PY-10"",""PY"",""NL"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",""3"",""COMPANY COMMITMENT"",""ALTO PARANA"",""PRESIDENTE FRANCO"",""CARGILL AGROPECUARIA SACI"",""CARGILL"",""NETHERLANDS"",""EUROPEAN UNION"",""19393.55"",""11017086.790333616"",""6507.902684563758"",""45.5748425"",""PY-10"",""PY"",""NL"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",""3"",""COMPANY COMMITMENT"",""ALTO PARANA"",""PRESIDENTE FRANCO"",""CARGILL AGROPECUARIA SACI"",""CARGILL"",""NETHERLANDS"",""EUROPEAN UNION"",""19393.55"",""11017086.790333616"",""6507.902684563758"",""45.5748425"",""PY-10"",""PY"",""NL"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",,""NONE"",""ALTO PARANA"",""CARLOS ANTONIO LOPEZ"",""CHS DE PARAGUAY SOCIEDAD DE RESPONSABILIDAD LIMITADA"",""CHS"",""MEXICO"",""MEXICO"",""19177.44"",""10476824.51"",""6435.38255033557"",""45.066984"",""PY-10"",""PY"",""MX"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",""4"",""NONE"",""ITAPUA"",""SAN JUAN DEL PARANA"",""BUNGE PARAGUAY SA"",""BUNGE"",""ITALY"",""EUROPEAN UNION"",""19116.67"",""9800926.135253966"",""6851.84914778579"",""23.8958375"",""PY-07"",""PY"",""IT"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEAN CAKE"",""3"",""NONE"",""CAAZAPA"",""VILLETA"",""ADM PARAGUAY"",""ADM"",""ALGERIA"",""ALGERIA"",""18941.83"",""8053446.411645182"",""7015.492592592594"",""182.78865950000002"",""PY-06"",""PY"",""DZ"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEAN CAKE"",""3"",""NONE"",""AMAMBAY"",""VILLETA"",""ADM PARAGUAY"",""ADM"",""CHILE"",""CHILE"",""18704.99"",""9463155.278726075"",""6563.154385964914"",""377.84079800000006"",""PY-13"",""PY"",""CL"""
